Java HotSpot(TM) 64-Bit Server VM (25.202-b08) for windows-amd64 JRE (1.8.0_202-b08), built on Dec 15 2018 19:54:30 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 8230644k(2562660k free), swap 14397192k(2125236k free)
CommandLine flags: -XX:-BytecodeVerificationLocal -XX:-BytecodeVerificationRemote -XX:+HeapDumpOnOutOfMemoryError -XX:HeapDumpPath=d:/dump/ -XX:InitialHeapSize=1073741824 -XX:+ManagementServer -XX:MaxHeapSize=1073741824 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:TieredStopAtLevel=1 -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseParallelGC 
3.018: [GC (Metadata GC Threshold) [PSYoungGen: 157346K->14275K(305664K)] 157346K->14291K(1005056K), 0.0225683 secs] [Times: user=0.09 sys=0.00, real=0.02 secs] 
91.301: [Full GC (Allocation Failure) [PSYoungGen: 299440K->299377K(330240K)] [ParOldGen: 692259K->692259K(699392K)] 991699K->991636K(1029632K), [Metaspace: 32197K->32197K(1079296K)], 0.2611797 secs] [Times: user=1.31 sys=0.02, real=0.26 secs] 
91.569: [Full GC (Ergonomics) [PSYoungGen: 300414K->299404K(330240K)] [ParOldGen: 692259K->692259K(699392K)] 992673K->991663K(1029632K), [Metaspace: 32197K->32197K(1079296K)], 0.1889955 secs] [Times: user=0.97 sys=0.00, real=0.19 secs] 
91.759: [Full GC (Allocation Failure) [PSYoungGen: 299404K->299382K(330240K)] [ParOldGen: 692259K->692259K(699392K)] 991663K->991641K(1029632K), [Metaspace: 32197K->32197K(1079296K)], 0.2318707 secs] [Times: user=1.14 sys=0.00, real=0.23 secs] 
92.002: [Full GC (Ergonomics) [PSYoungGen: 302616K->299406K(330240K)] [ParOldGen: 692259K->692259K(699392K)] 994876K->991665K(1029632K), [Metaspace: 32197K->32197K(1079296K)], 0.2514467 secs] [Times: user=1.23 sys=0.00, real=0.25 secs] 
92.254: [Full GC (Allocation Failure) [PSYoungGen: 299406K->299381K(330240K)] [ParOldGen: 692259K->692259K(699392K)] 991665K->991640K(1029632K), [Metaspace: 32197K->32197K(1079296K)], 0.2066469 secs] [Times: user=1.03 sys=0.02, real=0.21 secs] 
92.464: [Full GC (Ergonomics) [PSYoungGen: 300410K->299445K(330240K)] [ParOldGen: 692259K->692259K(699392K)] 992669K->991704K(1029632K), [Metaspace: 32197K->32197K(1079296K)], 0.2130106 secs] [Times: user=1.02 sys=0.00, real=0.21 secs] 
92.678: [Full GC (Allocation Failure) [PSYoungGen: 299445K->299382K(330240K)] [ParOldGen: 692259K->692259K(699392K)] 991704K->991641K(1029632K), [Metaspace: 32197K->32197K(1079296K)], 0.2163255 secs] [Times: user=1.03 sys=0.00, real=0.22 secs] 
92.901: [Full GC (Ergonomics) [PSYoungGen: 301067K->299409K(330240K)] [ParOldGen: 692259K->692258K(699392K)] 993326K->991668K(1029632K), [Metaspace: 32197K->32197K(1079296K)], 0.3972665 secs] [Times: user=1.39 sys=0.00, real=0.40 secs] 
93.298: [Full GC (Allocation Failure) [PSYoungGen: 299409K->299387K(330240K)] [ParOldGen: 692258K->692258K(699392K)] 991668K->991646K(1029632K), [Metaspace: 32197K->32197K(1079296K)], 0.2574192 secs] [Times: user=1.25 sys=0.00, real=0.26 secs] 
93.566: [Full GC (Ergonomics) [PSYoungGen: 302615K->299447K(330240K)] [ParOldGen: 692258K->692258K(699392K)] 994874K->991706K(1029632K), [Metaspace: 32197K->32197K(1079296K)], 0.2590185 secs] [Times: user=1.25 sys=0.00, real=0.26 secs] 
93.825: [Full GC (Allocation Failure) [PSYoungGen: 299447K->299384K(330240K)] [ParOldGen: 692258K->692258K(699392K)] 991706K->991643K(1029632K), [Metaspace: 32197K->32197K(1079296K)], 0.2208867 secs] [Times: user=1.08 sys=0.00, real=0.22 secs] 
94.049: [Full GC (Ergonomics) [PSYoungGen: 300236K->299407K(330240K)] [ParOldGen: 692258K->692258K(699392K)] 992495K->991666K(1029632K), [Metaspace: 32197K->32197K(1079296K)], 0.2166517 secs] [Times: user=1.06 sys=0.00, real=0.22 secs] 
94.266: [Full GC (Allocation Failure) [PSYoungGen: 299407K->299385K(330240K)] [ParOldGen: 692258K->692258K(699392K)] 991666K->991644K(1029632K), [Metaspace: 32197K->32197K(1079296K)], 0.2190165 secs] [Times: user=0.99 sys=0.00, real=0.22 secs] 
94.494: [Full GC (Ergonomics) [PSYoungGen: 300286K->299409K(330240K)] [ParOldGen: 692258K->692258K(699392K)] 992545K->991668K(1029632K), [Metaspace: 32197K->32197K(1079296K)], 0.2877215 secs] [Times: user=0.97 sys=0.02, real=0.29 secs] 
94.782: [Full GC (Allocation Failure) [PSYoungGen: 299409K->299387K(330240K)] [ParOldGen: 692258K->692258K(699392K)] 991668K->991646K(1029632K), [Metaspace: 32197K->32197K(1079296K)], 0.2284331 secs] [Times: user=1.09 sys=0.01, real=0.23 secs] 
95.011: [Full GC (Ergonomics) [PSYoungGen: 300736K->299388K(330240K)] [ParOldGen: 692258K->692258K(699392K)] 992994K->991647K(1029632K), [Metaspace: 32197K->32197K(1079296K)], 0.2016891 secs] [Times: user=0.89 sys=0.00, real=0.20 secs] 
95.213: [Full GC (Allocation Failure) [PSYoungGen: 299388K->299388K(330240K)] [ParOldGen: 692258K->692258K(699392K)] 991647K->991647K(1029632K), [Metaspace: 32197K->32197K(1079296K)], 0.2138394 secs] [Times: user=0.95 sys=0.00, real=0.21 secs] 
95.438: [Full GC (Ergonomics) [PSYoungGen: 302741K->299453K(330240K)] [ParOldGen: 692258K->692258K(699392K)] 994999K->991712K(1029632K), [Metaspace: 32197K->32197K(1079296K)], 0.1914459 secs] [Times: user=0.94 sys=0.00, real=0.19 secs] 
95.630: [Full GC (Allocation Failure) [PSYoungGen: 299453K->299390K(330240K)] [ParOldGen: 692258K->692258K(699392K)] 991712K->991649K(1029632K), [Metaspace: 32197K->32197K(1079296K)], 0.2327758 secs] [Times: user=1.16 sys=0.00, real=0.23 secs] 
95.863: [Full GC (Ergonomics) [PSYoungGen: 299392K->299390K(330240K)] [ParOldGen: 692258K->692258K(699392K)] 991651K->991649K(1029632K), [Metaspace: 32197K->32197K(1079296K)], 0.2061028 secs] [Times: user=0.95 sys=0.00, real=0.21 secs] 
96.069: [Full GC (Allocation Failure) [PSYoungGen: 299390K->299390K(330240K)] [ParOldGen: 692258K->692258K(699392K)] 991649K->991649K(1029632K), [Metaspace: 32197K->32197K(1079296K)], 0.2099929 secs] [Times: user=1.08 sys=0.00, real=0.21 secs] 
96.286: [Full GC (Ergonomics) [PSYoungGen: 301139K->299415K(330240K)] [ParOldGen: 692258K->692258K(699392K)] 993398K->991673K(1029632K), [Metaspace: 32197K->32197K(1079296K)], 0.2135339 secs] [Times: user=1.13 sys=0.00, real=0.21 secs] 
96.500: [Full GC (Allocation Failure) [PSYoungGen: 299415K->299392K(330240K)] [ParOldGen: 692258K->692258K(699392K)] 991673K->991651K(1029632K), [Metaspace: 32197K->32197K(1079296K)], 0.2037234 secs] [Times: user=0.91 sys=0.00, real=0.20 secs] 
96.712: [Full GC (Ergonomics) [PSYoungGen: 300591K->299461K(330240K)] [ParOldGen: 692258K->692258K(699392K)] 992849K->991720K(1029632K), [Metaspace: 32197K->32197K(1079296K)], 0.2477421 secs] [Times: user=1.34 sys=0.00, real=0.25 secs] 
96.960: [Full GC (Allocation Failure) [PSYoungGen: 299461K->299395K(330240K)] [ParOldGen: 692258K->692258K(699392K)] 991720K->991654K(1029632K), [Metaspace: 32197K->32197K(1079296K)], 0.2135037 secs] [Times: user=1.00 sys=0.00, real=0.21 secs] 
97.174: [Full GC (Ergonomics) [PSYoungGen: 299403K->299396K(330240K)] [ParOldGen: 692258K->692258K(699392K)] 991662K->991654K(1029632K), [Metaspace: 32197K->32197K(1079296K)], 0.2316349 secs] [Times: user=1.14 sys=0.00, real=0.23 secs] 
97.406: [Full GC (Allocation Failure) [PSYoungGen: 299396K->299396K(330240K)] [ParOldGen: 692258K->692258K(699392K)] 991654K->991654K(1029632K), [Metaspace: 32197K->32197K(1079296K)], 0.2278539 secs] [Times: user=0.98 sys=0.00, real=0.23 secs] 
97.642: [Full GC (Ergonomics) [PSYoungGen: 302266K->299419K(330240K)] [ParOldGen: 692258K->692258K(699392K)] 994525K->991678K(1029632K), [Metaspace: 32197K->32197K(1079296K)], 0.1826099 secs] [Times: user=0.94 sys=0.00, real=0.18 secs] 
97.825: [Full GC (Allocation Failure) [PSYoungGen: 299419K->299397K(330240K)] [ParOldGen: 692258K->692258K(699392K)] 991678K->991656K(1029632K), [Metaspace: 32197K->32197K(1079296K)], 0.2146380 secs] [Times: user=0.97 sys=0.02, real=0.21 secs] 
98.047: [Full GC (Ergonomics) [PSYoungGen: 300506K->299464K(330240K)] [ParOldGen: 692258K->692258K(699392K)] 992765K->991723K(1029632K), [Metaspace: 32197K->32197K(1079296K)], 0.1901511 secs] [Times: user=0.89 sys=0.00, real=0.19 secs] 
98.237: [Full GC (Allocation Failure) [PSYoungGen: 299464K->299402K(330240K)] [ParOldGen: 692258K->692258K(699392K)] 991723K->991660K(1029632K), [Metaspace: 32197K->32197K(1079296K)], 0.2287836 secs] [Times: user=1.02 sys=0.00, real=0.23 secs] 
98.466: [Full GC (Ergonomics) [PSYoungGen: 300305K->299402K(330240K)] [ParOldGen: 692258K->692258K(699392K)] 992563K->991661K(1029632K), [Metaspace: 32197K->32197K(1079296K)], 0.2232204 secs] [Times: user=1.14 sys=0.02, real=0.22 secs] 
98.690: [Full GC (Allocation Failure) [PSYoungGen: 299402K->299402K(330240K)] [ParOldGen: 692258K->692258K(699392K)] 991661K->991661K(1029632K), [Metaspace: 32197K->32197K(1079296K)], 0.1975750 secs] [Times: user=0.95 sys=0.00, real=0.20 secs] 
98.894: [Full GC (Ergonomics) [PSYoungGen: 300787K->299423K(330240K)] [ParOldGen: 692258K->692258K(699392K)] 993046K->991681K(1029632K), [Metaspace: 32197K->32197K(1079296K)], 0.2162200 secs] [Times: user=1.17 sys=0.00, real=0.22 secs] 
99.110: [Full GC (Allocation Failure) [PSYoungGen: 299423K->299400K(330240K)] [ParOldGen: 692258K->692258K(699392K)] 991681K->991659K(1029632K), [Metaspace: 32197K->32197K(1079296K)], 0.2363169 secs] [Times: user=1.27 sys=0.00, real=0.24 secs] 
99.359: [Full GC (Ergonomics) [PSYoungGen: 300556K->299464K(330240K)] [ParOldGen: 692258K->692258K(699392K)] 992814K->991723K(1029632K), [Metaspace: 32197K->32197K(1079296K)], 0.2158705 secs] [Times: user=1.05 sys=0.00, real=0.22 secs] 
99.575: [Full GC (Allocation Failure) [PSYoungGen: 299464K->299401K(330240K)] [ParOldGen: 692258K->692258K(699392K)] 991723K->991660K(1029632K), [Metaspace: 32197K->32197K(1079296K)], 0.2273654 secs] [Times: user=0.89 sys=0.00, real=0.23 secs] 
99.804: [Full GC (Ergonomics) [PSYoungGen: 299407K->299402K(330240K)] [ParOldGen: 692258K->692258K(699392K)] 991666K->991660K(1029632K), [Metaspace: 32197K->32197K(1079296K)], 0.3584789 secs] [Times: user=2.05 sys=0.03, real=0.36 secs] 
100.162: [Full GC (Allocation Failure) [PSYoungGen: 299402K->299402K(330240K)] [ParOldGen: 692258K->692258K(699392K)] 991660K->991660K(1029632K), [Metaspace: 32197K->32197K(1079296K)], 0.2177550 secs] [Times: user=1.13 sys=0.00, real=0.22 secs] 
100.390: [Full GC (Ergonomics) [PSYoungGen: 302312K->299466K(330240K)] [ParOldGen: 692258K->692258K(699392K)] 994570K->991725K(1029632K), [Metaspace: 32197K->32197K(1079296K)], 0.2225672 secs] [Times: user=1.03 sys=0.00, real=0.22 secs] 
100.613: [Full GC (Allocation Failure) [PSYoungGen: 299466K->299403K(330240K)] [ParOldGen: 692258K->692258K(699392K)] 991725K->991662K(1029632K), [Metaspace: 32197K->32197K(1079296K)], 0.2406893 secs] [Times: user=1.14 sys=0.02, real=0.24 secs] 
100.854: [Full GC (Ergonomics) [PSYoungGen: 299405K->299404K(330240K)] [ParOldGen: 692258K->692258K(699392K)] 991664K->991663K(1029632K), [Metaspace: 32197K->32197K(1079296K)], 0.2546441 secs] [Times: user=1.20 sys=0.00, real=0.25 secs] 
101.109: [Full GC (Allocation Failure) [PSYoungGen: 299404K->299404K(330240K)] [ParOldGen: 692258K->692258K(699392K)] 991663K->991663K(1029632K), [Metaspace: 32197K->32197K(1079296K)], 0.2416729 secs] [Times: user=1.09 sys=0.01, real=0.24 secs] 
101.360: [Full GC (Ergonomics) [PSYoungGen: 302680K->299428K(330240K)] [ParOldGen: 692258K->692258K(699392K)] 994939K->991687K(1029632K), [Metaspace: 32197K->32197K(1079296K)], 0.2478133 secs] [Times: user=1.33 sys=0.02, real=0.25 secs] 
101.608: [Full GC (Allocation Failure) [PSYoungGen: 299428K->299406K(330240K)] [ParOldGen: 692258K->692258K(699392K)] 991687K->991664K(1029632K), [Metaspace: 32197K->32197K(1079296K)], 0.2172785 secs] [Times: user=0.98 sys=0.00, real=0.22 secs] 
101.832: [Full GC (Ergonomics) [PSYoungGen: 302063K->299448K(330240K)] [ParOldGen: 692258K->692258K(699392K)] 994322K->991707K(1029632K), [Metaspace: 32205K->32205K(1079296K)], 0.2144298 secs] [Times: user=1.08 sys=0.00, real=0.21 secs] 
102.047: [Full GC (Allocation Failure) [PSYoungGen: 299448K->299425K(330240K)] [ParOldGen: 692258K->692258K(699392K)] 991707K->991684K(1029632K), [Metaspace: 32205K->32205K(1079296K)], 0.1937286 secs] [Times: user=0.94 sys=0.00, real=0.20 secs] 
102.248: [Full GC (Ergonomics) [PSYoungGen: 300419K->299457K(330240K)] [ParOldGen: 692258K->692258K(699392K)] 992677K->991716K(1029632K), [Metaspace: 32205K->32205K(1079296K)], 0.2157237 secs] [Times: user=1.11 sys=0.00, real=0.22 secs] 
102.464: [Full GC (Allocation Failure) [PSYoungGen: 299457K->299416K(330240K)] [ParOldGen: 692258K->692258K(699392K)] 991716K->991675K(1029632K), [Metaspace: 32205K->32205K(1079296K)], 0.2227619 secs] [Times: user=1.00 sys=0.00, real=0.22 secs] 
102.692: [Full GC (Ergonomics) [PSYoungGen: 299771K->283063K(330240K)] [ParOldGen: 692258K->692258K(699392K)] 992029K->975321K(1029632K), [Metaspace: 32205K->32205K(1079296K)], 0.3966756 secs] [Times: user=1.34 sys=0.00, real=0.40 secs] 
103.090: [Full GC (Ergonomics) [PSYoungGen: 299468K->299438K(330240K)] [ParOldGen: 692258K->692258K(699392K)] 991726K->991697K(1029632K), [Metaspace: 32205K->32205K(1079296K)], 0.2294288 secs] [Times: user=1.17 sys=0.02, real=0.23 secs] 
103.319: [Full GC (Allocation Failure) [PSYoungGen: 299438K->299416K(330240K)] [ParOldGen: 692258K->692258K(699392K)] 991697K->991674K(1029632K), [Metaspace: 32205K->32205K(1079296K)], 0.2181420 secs] [Times: user=1.03 sys=0.03, real=0.22 secs] 
103.544: [Full GC (Ergonomics) [PSYoungGen: 300847K->262595K(330240K)] [ParOldGen: 692258K->696354K(699392K)] 993106K->958950K(1029632K), [Metaspace: 32205K->32205K(1079296K)], 0.4733754 secs] [Times: user=1.55 sys=0.01, real=0.47 secs] 
104.031: [Full GC (Ergonomics) [PSYoungGen: 296830K->262278K(330240K)] [ParOldGen: 696354K->696692K(699392K)] 993184K->958970K(1029632K), [Metaspace: 32205K->32205K(1079296K)], 0.4813451 secs] [Times: user=1.91 sys=0.00, real=0.48 secs] 
104.524: [Full GC (Ergonomics) [PSYoungGen: 296425K->262272K(330240K)] [ParOldGen: 696692K->696696K(699392K)] 993117K->958969K(1029632K), [Metaspace: 32205K->32205K(1079296K)], 0.4322844 secs] [Times: user=1.36 sys=0.00, real=0.43 secs] 
104.964: [Full GC (Ergonomics) [PSYoungGen: 296403K->278650K(330240K)] [ParOldGen: 696696K->696698K(699392K)] 993100K->975349K(1029632K), [Metaspace: 32205K->32205K(1079296K)], 0.6573269 secs] [Times: user=2.72 sys=0.01, real=0.66 secs] 
105.625: [Full GC (Ergonomics) [PSYoungGen: 311808K->295036K(330240K)] [ParOldGen: 696698K->696700K(699392K)] 1008506K->991737K(1029632K), [Metaspace: 32205K->32205K(1079296K)], 0.4478491 secs] [Times: user=1.59 sys=0.00, real=0.45 secs] 
106.078: [Full GC (Ergonomics) [PSYoungGen: 296566K->278653K(330240K)] [ParOldGen: 696700K->696700K(699392K)] 993267K->975353K(1029632K), [Metaspace: 32205K->32205K(1079296K)], 0.4475804 secs] [Times: user=1.63 sys=0.00, real=0.45 secs] 
106.532: [Full GC (Ergonomics) [PSYoungGen: 296494K->278652K(330240K)] [ParOldGen: 696700K->696700K(699392K)] 993194K->975353K(1029632K), [Metaspace: 32205K->32205K(1079296K)], 0.4860856 secs] [Times: user=1.49 sys=0.02, real=0.49 secs] 
107.024: [Full GC (Ergonomics) [PSYoungGen: 296310K->278661K(330240K)] [ParOldGen: 696700K->696700K(699392K)] 993010K->975362K(1029632K), [Metaspace: 32205K->32205K(1079296K)], 0.4304760 secs] [Times: user=1.44 sys=0.02, real=0.43 secs] 
107.470: [Full GC (Ergonomics) 
